,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
197,karnataka,bagalkote,2002,Whole Year ,Other Fresh Fruits,452.0,955.0
198,karnataka,bagalkote,2002,Whole Year ,Papaya,43.0,117.0
199,karnataka,bagalkote,2002,Whole Year ,Pome Fruit,48.0,168.0
200,karnataka,bagalkote,2002,Whole Year ,Sannhamp,22.0,5.0
201,karnataka,bagalkote,2002,Whole Year ,Sugarcane,58694.0,5241374.0
202,karnataka,bagalkote,2002,Whole Year ,Sweet potato,20.0,63.0
203,karnataka,bagalkote,2002,Whole Year ,Tomato,114.0,639.0
204,karnataka,bagalkote,2002,Whole Year ,Turmeric,356.0,1991.0
205,karnataka,bagalkote,2003,Kharif     ,Arhar/Tur,736.0,40.0
206,karnataka,bagalkote,2003,Kharif     ,Bajra,15454.0,8153.0
207,karnataka,bagalkote,2003,Kharif     ,Castor seed,1.0,1.0
208,karnataka,bagalkote,2003,Kharif     ,Cotton(lint),3226.0,6374.0
209,karnataka,bagalkote,2003,Kharif     ,Groundnut,2649.0,1644.0
210,karnataka,bagalkote,2003,Kharif     ,Horse-gram,437.0,112.0
211,karnataka,bagalkote,2003,Kharif     ,Jowar,4339.0,9345.0
212,karnataka,bagalkote,2003,Kharif     ,Maize,14493.0,52889.0
213,karnataka,bagalkote,2003,Kharif     ,Mesta,150.0,286.0
214,karnataka,bagalkote,2003,Kharif     ,Moong(Green Gram),969.0,56.0
215,karnataka,bagalkote,2003,Kharif     ,Niger seed,153.0,23.0
216,karnataka,bagalkote,2003,Kharif     ,Other Kharif pulses,133.0,45.0
217,karnataka,bagalkote,2003,Kharif     ,Rice,93.0,210.0
218,karnataka,bagalkote,2003,Kharif     ,Sesamum,536.0,236.0
219,karnataka,bagalkote,2003,Kharif     ,Small millets,67.0,39.0
220,karnataka,bagalkote,2003,Kharif     ,Soyabean,272.0,119.0
221,karnataka,bagalkote,2003,Kharif     ,Sunflower,11643.0,9155.0
222,karnataka,bagalkote,2003,Rabi       ,Gram,28249.0,4448.0
223,karnataka,bagalkote,2003,Rabi       ,Groundnut,14870.0,22871.0
