State,District,Season,Crop,Crop_Id
bihar,vaishali,Rabi,Rapeseed &Mustard,17
bihar,vaishali,Rabi,Maize,4
bihar,vaishali,Summer,Maize,4
bihar,vaishali,Summer,Rice,5
karnataka,bangalore rural,Kharif,Rice,5
karnataka,bangalore rural,Summer,Rice,5
karnataka,bangalore urban,Kharif,Horse-gram,0
karnataka,bangalore urban,Kharif,Groundnut,1
karnataka,bangalore urban,Kharif,Arhar/Tur,23
karnataka,bangalore urban,Kharif,Maize,4
karnataka,bangalore urban,Kharif,Rice,5
karnataka,bangalore urban,Kharif,Ragi,6
karnataka,bangalore urban,Rabi,Horse-gram,0
karnataka,bangalore urban,Rabi,Maize,4
karnataka,bangalore urban,Rabi,Ragi,6
karnataka,bangalore urban,Summer,Maize,4
karnataka,bangalore urban,Summer,Rice,5
karnataka,bangalore urban,Summer,Ragi,6
karnataka,bangalore urban,Whole Year,Coriander,24
karnataka,belgam,Kharif,Horse-gram,0
karnataka,belgam,Kharif,Groundnut,1
karnataka,belgam,Kharif,Jowar,3
karnataka,belgam,Kharif,Rice,5
karnataka,belgam,Kharif,Ragi,6
karnataka,belgam,Kharif,Bajra,9
karnataka,belgam,Rabi,Wheat,13
karnataka,belgam,Rabi,Jowar,3
karnataka,belgam,Rabi,Maize,4
karnataka,belgam,Summer,Maize,4
karnataka,belgam,Whole Year,Turmeric,16
karnataka,bellary,Kharif,Horse-gram,0
karnataka,bellary,Kharif,Groundnut,1
karnataka,bellary,Kharif,Arhar/Tur,23
karnataka,bellary,Kharif,Jowar,3
karnataka,bellary,Kharif,Maize,4
karnataka,bellary,Kharif,Rice,5
karnataka,bellary,Kharif,Ragi,6
karnataka,bellary,Kharif,Bajra,9
karnataka,bellary,Rabi,Horse-gram,0
karnataka,bellary,Rabi,Wheat,13
karnataka,bellary,Rabi,Jowar,3
karnataka,bellary,Rabi,Maize,4
karnataka,bellary,Summer,Jowar,3
karnataka,bellary,Summer,Rice,5
karnataka,bellary,Whole Year,Coriander,24
karnataka,bidar,Kharif,Arhar/Tur,23
karnataka,bidar,Kharif,Jowar,3
karnataka,bidar,Kharif,Maize,4
karnataka,bidar,Kharif,Rice,5
karnataka,bidar,Rabi,Wheat,13
karnataka,bidar,Rabi,Jowar,3
karnataka,bidar,Rabi,Maize,4
karnataka,bidar,Whole Year,Turmeric,16
karnataka,bidar,Whole Year,Coriander,24
karnataka,bijapur,Kharif,Horse-gram,0
karnataka,bijapur,Kharif,Groundnut,1
karnataka,bijapur,Kharif,Maize,4
karnataka,bijapur,Kharif,Rice,5
karnataka,bijapur,Kharif,Bajra,9
karnataka,bijapur,Rabi,Wheat,13
karnataka,bijapur,Rabi,Maize,4
karnataka,bijapur,Whole Year,Turmeric,16
karnataka,bijapur,Whole Year,Coriander,24
karnataka,chikmagalur,Kharif,Arhar/Tur,23
karnataka,chikmagalur,Kharif,Jowar,3
karnataka,chikmagalur,Kharif,Maize,4
karnataka,chikmagalur,Kharif,Rice,5
karnataka,chikmagalur,Kharif,Ragi,6
karnataka,chikmagalur,Rabi,Horse-gram,0
karnataka,chikmagalur,Rabi,Jowar,3
karnataka,chikmagalur,Summer,Rice,5
karnataka,chitradurga,Kharif,Horse-gram,0
karnataka,chitradurga,Kharif,Groundnut,1
karnataka,chitradurga,Kharif,Arhar/Tur,23
karnataka,chitradurga,Kharif,Jowar,3
karnataka,chitradurga,Kharif,Maize,4
karnataka,chitradurga,Kharif,Rice,5
karnataka,chitradurga,Kharif,Ragi,6
