State,District,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
karnataka,bagalkote,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,bangalore rural,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,bangalore urban,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,belgam,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,bellary,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,bidar,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,bijapur,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,chamarajanagar,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,chikmagalur,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,chitradurga,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,dakshin kannada,8,7,7,7,7,7,7,7,7,7,7,7,7
karnataka,davangere,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,dharwad,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,gadag,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,gulbarga,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,hassan,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,haveri,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,kodagu,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,kolar,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,koppal,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,mandya,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,mysore,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,raichur,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,shimoga,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,tumkur,109,109,109,109,109,109,109,109,109,109,109,109,109
karnataka,udupi,8,7,7,7,7,7,7,7,7,7,7,7,7
karnataka,uttar kannada,8,7,7,7,7,7,7,7,7,7,7,7,7
kerala,alapuzha,8,7,7,7,7,7,7,7,7,7,7,7,7
kerala,cannur,7,7,7,7,7,7,7,7,7,7,7,7,7
kerala,ernakulam,8,7,7,7,7,7,7,7,7,7,7,7,7
kerala,idukki,109,109,109,109,109,109,109,109,109,109,109,109,109
kerala,kannur,1,0,0,0,0,0,0,0,0,0,0,0,0
kerala,kasaragod,8,7,7,7,7,7,7,7,7,7,7,7,7
kerala,kollam,8,7,7,7,7,7,7,7,7,7,7,7,7
kerala,kottayam,8,7,7,7,7,7,7,7,7,7,7,7,7
kerala,kozhikode,8,7,7,7,7,7,7,7,7,7,7,7,7
kerala,malapuram,8,7,7,7,7,7,7,7,7,7,7,7,7
kerala,palakked,8,7,7,7,7,7,7,7,7,7,7,7,7
kerala,pathanamthitta,8,7,7,7,7,7,7,7,7,7,7,7,7
kerala,thiruvananthapuram,8,7,7,7,7,7,7,7,7,7,7,7,7
kerala,thrissur,8,7,7,7,7,7,7,7,7,7,7,7,7
kerala,wynad,8,7,7,7,7,7,7,7,7,7,7,7,7
lakshadweep,lakshadweep,8,7,7,7,7,7,7,7,7,7,7,7,7
madhya pradesh,balaghat,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,barwani,109,108,108,108,107,108,109,109,109,109,109,109,109
madhya pradesh,betul,109,109,109,109,109,109,109,109,109,109,109,108,109
madhya pradesh,bhind,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,bhopal,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,chhatarpur,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,chindwara,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,damoh,109,109,109,109,109,109,109,109,109,109,109,109,109
madhya pradesh,datia,109,108,108,109,109,109,109,109,109,109,109,109,109
madhya pradesh,dewas,109,109,109,108,108,109,109,109,109,109,109,109,109
